,image_link,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,Origin,Size,Appearance,Temperament,Health,Lifespan,Breed group,Coat,Exercise needs,Training needs,Grooming,Breed Group,Training,Health concerns,Activity level,Grooming needs,Exercise Needs,The heartwarming family films “Homeward Bound,Weight,Color,Petey from “The Little Rascals,Energy level,Exercise,Suitability as a pet,"The Berger Picard has made its mark in the world of cinema, featuring in films like “Because of Winn Dixie,” “Homeward Bound II",Active,Energetic,Playful,Intelligent,Easy to train,Good with children,Wary of strangers,Hunting instincts,Country of origin,Original purpose,Height,Exercise requirements,Health problems,Colors,Trainability,Needs,They come in two coat varieties,Hybrid breed,Purpose,Other Dalmatian Names in History,“Bombón,"Published in 1933, Flush",There are five distinct varieties of the German Spitz,"Both parent breeds, the Siberian Husky and Golden Retriever, have made many appearances in movies over the years, including “Iron Will”, “Air Bud“, “Homeward Bound",Health Considerations,History,Digging Instinct,Suitability,Health issues,Popularity,The heartwarming film “Homeward Bound II,English Mastiff,Neapolitan Mastiff,Bullmastiff,Personality,Breed type,Parent breeds,Good with other pets,Orgin,Nicknames,Movie roles,TV mentions,Shiba Inu Lifespan,Pop Culture,Uses,"Currently, the AKC officially acknowledges the Yakutian Laika, whereas the Fédération Cynologique Internationale (FCI) recognizes three distinct Laika breeds"
Bouvier des Flandres,https://api-ninjas.com/images/dogs/bouvier_des_flandres.jpg,3.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,10.0,12.0,27.5,27.5,110.0,110.0,24.5,24.5,70.0,70.0,Belgium,"Large, typically standing 24-27 inches tall and weighing 60-110 pounds.",,"Intelligent, loyal, and protective","Generally healthy, but can be prone to some health problems, such as hip dysplasia and elbow dysplasia.",10-12 years,Working,"Rough, shaggy, and weather-resistant",High,,,,Easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxer,https://api-ninjas.com/images/dogs/boxer.jpg,5.0,3.0,2.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,10.0,12.0,25.0,25.0,80.0,65.0,23.0,23.0,65.0,50.0,Germany,"Male: 23-25 inches (58-63 cm) at the shoulder, Female: 21-23 inches (53-58 cm) at the shoulder",,"Friendly, playful, loyal, intelligent","Some health problems that are common in the Boxer include hip dysplasia, elbow dysplasia, cancer, and heart disease.",10-12 years,Working,"Short, smooth",30-60 minutes of exercise per day,,Weekly brushing,,Easy to train with positive reinforcement,,,,,,"Male: 60-70 pounds (27-32 kg), Female: 50-60 pounds (23-27 kg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boykin Spaniel,https://api-ninjas.com/images/dogs/boykin_spaniel.jpg,5.0,5.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,10.0,15.0,18.0,18.0,40.0,35.0,15.5,15.5,30.0,25.0,"South Carolina, United States","14-18 inches tall at the shoulder, 25-40 pounds",,"Friendly, loyal, outgoing, and eager to please","Some health concerns include hip dysplasia, elbow dysplasia, and eye problems",12-14 years,,"Medium-length, water-resistant, and wavy",Moderate; 30-60 minutes of exercise per day,,Weekly brushing and occasional bathing,,Relatively easy to train with positive reinforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracco Italiano,https://api-ninjas.com/images/dogs/bracco_italiano.jpg,4.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,4.0,2.0,10.0,14.0,27.0,27.0,90.0,90.0,21.0,21.0,55.0,55.0,Italy,"Large, typically standing 22-26 inches tall and weighing 55-80 pounds.",,"Gentle, docile, and affectionate","Generally healthy, but can be prone to some health problems, such as hip dysplasia and elbow dysplasia.",10-12 years,Sporting,"Short, smooth, and dense",High,,,,Easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braque Francais Pyrenean,https://api-ninjas.com/images/dogs/braque_francais_pyrenean.jpg,5.0,5.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,5.0,3.0,12.0,15.0,23.0,23.0,55.0,55.0,18.5,18.5,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braque du Bourbonnais,https://api-ninjas.com/images/dogs/braque_du_bourbonnais.jpg,3.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,4.0,2.0,10.0,12.0,22.5,22.5,53.0,53.0,19.0,19.0,35.0,35.0,France,Medium to Large,,"Intelligent, loyal, and friendly",,10-12 years,Gundog,"Short, dense coat that is white with brown or orange markings",High,Early and consistent training is recommended,,,,"Hip dysplasia, elbow dysplasia, and eye problems",,,,,50-65 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briard,https://api-ninjas.com/images/dogs/briard.jpg,3.0,3.0,1.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0,12.0,12.0,27.0,27.0,100.0,100.0,23.0,23.0,55.0,55.0,"The Briard, also known as the “Chien de Berger de Brie,” hails from France, where they have a long history as a herding and working dog.","This breed is of medium to large size, with males typically standing around 23 to 27 inches (58 to 69 cm) at the shoulder, and females slightly smaller.","Briards are easily recognizable by their long, double coats that come in various colors, including black, fawn, and gray. They have a distinctive beard and bushy eyebrows.","Briards are intelligent, loyal, and protective. They make excellent family dogs and are known for their herding instincts, but they can be reserved with strangers.","Like many breeds, Briards are prone to certain health issues, including hip dysplasia and progressive retinal atrophy. Regular veterinary check-ups are important.",The average lifespan of a Briard is around 10 to 12 years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brittany,https://api-ninjas.com/images/dogs/brittany.jpg,4.0,4.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,5.0,5.0,3.0,12.0,14.0,20.5,20.5,40.0,40.0,17.5,17.5,30.0,30.0,France,Medium,,"Energetic, intelligent, and affectionate",,12-15 years,Sporting,"Dense, medium-length coat in a variety of colors and patterns",High,Easy to train,,,,"Generally healthy, but can be prone to certain health conditions, such as hip dysplasia, elbow dysplasia, and eye problems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broholmer,https://api-ninjas.com/images/dogs/broholmer.jpg,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,3.0,2.0,1.0,8.0,10.0,29.5,29.5,150.0,150.0,27.5,27.5,90.0,90.0,Denmark,"Large, typically standing 27.5-29.5 inches tall and weighing 90-150 pounds.",,"Calm, good-natured, yet watchful and confident","Generally healthy, but can be prone to some health problems, such as hip dysplasia and elbow dysplasia.",8-10 years,Working,"Short, dense, and smooth",High,,,,Easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brussels Griffon,https://api-ninjas.com/images/dogs/brussels_griffon.jpg,3.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,12.0,15.0,10.0,10.0,10.0,10.0,7.0,7.0,8.0,8.0,Belgium,"Small, 10-12 inches tall at the shoulder, 7-12 pounds",,"Friendly, playful, intelligent, affectionate","Some health problems that can be seen in the breed include patellar luxation, corneal ulcers, and cherry eye",12-15 years,Companion dogs,"Short, wiry",Low,,,,Easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bull Terrier,https://api-ninjas.com/images/dogs/bull_terrier.jpg,3.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,3.0,12.0,13.0,22.0,22.0,70.0,70.0,21.0,21.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulldog,https://api-ninjas.com/images/dogs/bulldog.jpg,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,2.0,8.0,10.0,15.0,15.0,50.0,40.0,14.0,14.0,50.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullmastiff,https://api-ninjas.com/images/dogs/bullmastiff.jpg,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,4.0,4.0,1.0,7.0,9.0,27.0,27.0,130.0,120.0,25.0,25.0,110.0,100.0,,,,"Calm, gentle, loyal, protective",,8-10 years,,"Short and dense. Bullmastiffs come in various coat colors, including fawn, red, and brindle, often with a black mask on their face.",,,,Working,Requires patience and consistency,,,Low,,,"100-130 pounds (male), 80-100 pounds (female)",,,,,,,,,,,,,,,England,Guard dog,"24-27 inches (male), 22-25 inches (female)",Low to moderate,"Hip dysplasia, elbow dysplasia, eye problems.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairn Terrier,https://api-ninjas.com/images/dogs/cairn_terrier.jpg,3.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,13.0,15.0,10.0,10.0,14.0,13.0,10.0,10.0,14.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canaan Dog,https://api-ninjas.com/images/dogs/canaan_dog.jpg,3.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,5.0,12.0,15.0,24.0,24.0,55.0,45.0,20.0,20.0,45.0,35.0,"The Canaan Dog hails from the Middle East and is one of the oldest known breeds, initially used as a herding and guard dog by ancient civilizations.","This breed is of medium size, with males typically standing between 20 to 24 inches tall at the shoulder, and females slightly smaller.","Canaan Dogs have a well-balanced, athletic build with a short-to-medium coat. Their wedge-shaped head features expressive, dark almond-shaped eyes.","Known for their loyalty and protective nature, Canaan Dogs are wary of strangers, making them excellent watchdogs. They are highly intelligent, adaptable, and reserved but affectionate with their families.","Generally a healthy breed, Canaan Dogs can be prone to hip dysplasia and some eye issues. Regular check-ups are important for maintaining their well-being.",Canaan Dogs typically live for about 12 to 15 years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cane Corso,https://api-ninjas.com/images/dogs/cane_corso.jpg,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,5.0,4.0,4.0,3.0,9.0,12.0,27.5,27.5,110.0,99.0,25.0,25.0,99.0,88.0,Italy,25-27.5 inches tall at the shoulder and weigh 90-120 pounds; females stand 23.5-26 inches tall and weigh 70-90 pounds,,"Intelligent, loyal, protective, affectionate, but can be wary of strangers","Prone to hip dysplasia, elbow dysplasia, and heart disease",10-12 years,,"Short, dense, and smooth; comes in black, brindle, fawn, or red",High; needs at least 2 hours of vigorous exercise per day,,Low-maintenance; brush once a week,Working,Needs early and consistent training; can be stubborn but is eager to please,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardigan Welsh Corgi,,,,,,,,,,,,,,,,,,,,,,,,Wales,Medium,,"Intelligent, loyal, and affectionate",,12-15 years,Herding,"Medium-length, double coat that is any color or combination of colors",Moderate,Early and consistent training is recommended,,,,"Some common health concerns include hip dysplasia, elbow dysplasia, and eye problems",,,,,25-38 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Dog,https://api-ninjas.com/images/dogs/carolina_dog.jpg,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,12.0,15.0,19.5,19.5,55.0,55.0,17.75,17.75,30.0,30.0,The Carolina Dog is a primitive breed with roots tracing back to wild dogs in the Southeastern United States.,"Carolina Dogs are typically medium-sized dogs, with males standing around 17 to 24 inches tall at the shoulder, and females slightly smaller.","They have a distinct appearance with a wedge-shaped head, erect ears, and a curled tail. Their coat is typically short and comes in various colors, often with a sable pattern.","These dogs are known for their intelligence, independence, and loyalty. They can be reserved with strangers but are usually loving and loyal to their families.","Carolina Dogs are generally a healthy breed with a lifespan of about 12 to 15 years. However, like all dogs, they can be prone to certain health issues, so regular veterinary check-ups are important.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catahoula Leopard Dog,,,,,,,,,,,,,,,,,,,,,,,,"Louisiana, United States. The Catahoula Leopard Dog is a mix of several breeds, including the Spanish Mastiff, the Bloodhound, and the American Dingo. They were originally used by Native Americans and French settlers to hunt wild hogs and cattle.",,,"Intelligent, inquisitive, energetic, gentle, independent.",,10-14 years.,,"Short, smooth, or coarse.",,,,,,,,,,,40-90 pounds.,,,High. Catahoula Leopard Dogs are not recommended for apartment living due to their high energy level. They need at least one hour of vigorous exercise per day.,,,,,,,,,,,,,,20-26 inches.,,,"Black, brindle, red merle, black merle, red.",Moderately easy to train. They need early socialization and training to be well-behaved around other dogs and people.,"Daily exercise, early socialization, firm but gentle training.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caucasian Shepherd Dog,https://api-ninjas.com/images/dogs/caucasian_shepherd_dog.jpg,3.0,2.0,4.0,3.0,4.0,1.0,2.0,2.0,5.0,3.0,3.0,2.0,10.0,12.0,30.0,30.0,170.0,170.0,23.0,23.0,99.0,99.0,"The Caucasus Mountains, between Europe and Asia","Male: 27.5-30 inches (70-76 cm) tall at the shoulder, 110-154 pounds (50-70 kg); Female: 26.5-29 inches (67-74 cm) tall at the shoulder, 90-110 pounds (41-50 kg)",,"Independent, loyal, protective, wary of strangers","Some health problems that are common in the breed include hip dysplasia, elbow dysplasia, and eye problems.",10-12 years,Working,"Long, thick, double coat that can be straight or curly",High,,,,Requires early and consistent training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cava-Chin,,,,,,,,,,,,,,,,,,,,,,,,United States,Small,,"Affectionate, playful, and intelligent",,12-15 years,Designer breed,"Medium-length, soft, and wavy or curly coat that can be black, brown, tan, or white, often with a mix of colors",Moderate,Easy to train,,,,"Generally healthy, but can be prone to certain health conditions, such as patellar luxation, eye problems, and allergies",,,,,8-14 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cavalier King Charles Spaniel,https://api-ninjas.com/images/dogs/cavalier_king_charles_spaniel.jpg,5.0,5.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,12.0,15.0,13.0,13.0,18.0,18.0,12.0,12.0,13.0,13.0,England,12-13 inches (30-33 cm) at the shoulder,,"Gentle, affectionate, friendly, playful","Some health problems that are common include mitral valve disease, syringomyelia, and portosystemic shunt.",9-14 years,Toy,"Long, silky, and soft",30 minutes of exercise per day,,Regular brushing and occasional professional grooming,,Easy to train with positive reinforcement,,,,,,13-18 pounds (6-8 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cavapoo,,,,,,,,,,,,,,,,,,,,,,,,Australia in the 1990s,10-20 pounds (4.5-9 kg),,"Affectionate, friendly, and sociable. They often get along well with children, other pets, and strangers.","Cavapoos can inherit health traits from both parent breeds. Responsible breeding practices, regular veterinary care, and a balanced diet are important for their overall health.",12-15 years. They are able to outlive their parents due to Hybrid Vigor.,,"Cavapoos can have a variety of coat types, including wavy or curly. They often have low-shedding or hypoallergenic coats, which can vary depending on the generation of the cross.",,,Grooming needs depend on the coat type. Regular brushing and occasional professional grooming help keep their coat in good condition.,Hybrid (designer dog),"Cavapoos are usually intelligent and eager to please, making them trainable. Positive reinforcement methods work well with them.",,,,"They have moderate exercise requirements. Regular playtime, walks, and mental stimulation are important for their well-being.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asian Shepherd Dog,https://api-ninjas.com/images/dogs/central_asian_shepherd_dog.jpg,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,5.0,4.0,3.0,3.0,12.0,15.0,31.0,27.0,170.0,140.0,26.0,24.0,110.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesky Terrier,https://api-ninjas.com/images/dogs/cesky_terrier.jpg,5.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,12.0,15.0,13.0,13.0,24.0,24.0,10.0,10.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesapeake Bay Retriever,https://api-ninjas.com/images/dogs/chesapeake_bay_retriever.jpg,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,4.0,5.0,4.0,3.0,10.0,13.0,26.0,26.0,80.0,70.0,23.0,23.0,65.0,55.0,"United States, Chesapeake Bay region of Maryland and Virginia","Medium to large-sized, 21-26 inches tall, 60-80 pounds",,"Loyal, intelligent, trainable; love of water and retrieving",Relatively healthy but prone to hip dysplasia and elbow dysplasia,10-12 years,Working dog,"Thick, oily double coat that is water-resistant; solid brown, sedge, or deadgrass","Plenty of exercise, especially swimming",,Regular grooming to keep coat healthy and mat-free,,Relatively easy to train but can be stubborn; early socialization and training recommended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chihuahua,https://api-ninjas.com/images/dogs/chihuahua.jpg,1.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,4.0,5.0,14.0,16.0,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,Mexico,"5-8 inches tall at the shoulder, 1-6 pounds",,"Feisty, independent, loyal, playful",,12-20 years,,,,,,,,"Eye problems, luxating patellas, hydrocephalus",,Low; requires occasional brushing and bathing,,,,,,,,,,,,,,,,,,,,,,,,,,"smooth and long-haired. Smooth-coated Chihuahuas have short, smooth coats, while long-haired Chihuahuas have long, flowing coats.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilier,,,,,,,,,,,,,,,,,,,,,,,,The Chilier is a modern hybrid dog breed that is a cross between the Cavalier King Charles Spaniel and the Chihuahua.,The Chilier is a small-sized dog breed.,"Chiliers showcase a blend of features from their parent breeds, often possessing the expressive eyes of the Cavalier King Charles Spaniel and the compact body of the Chihuahua.","Known for its lively and affectionate nature, the Chilier typically inherits the friendly and social demeanor of the Cavalier King Charles Spaniel, combined with the Chihuahua’s spirited and confident personality.","Like all hybrids, the Chilier may inherit health issues from its parent breeds, such as hip dysplasia and glaucoma.","The Chilier’s lifespan ranges between 10 to 14 years, varying based on individual health and care.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Crested,,,,,,,,,,,,,,,,,,,,,,,,"The Chinese Crested dog is thought to have originated in Africa or Mexico, but was brought to China as early as 200 BC where it was bred as a lap dog for royalty.","Chinese Cresteds are small dogs, typically weighing between 5 and 12 pounds and standing 11 to 13 inches tall at the shoulder.",,Chinese Crested dogs are known for their affectionate and playful personalities. They are also relatively easy to train and make good family pets.,,Chinese Cresteds have a lifespan of 13 to 15 years.,,"There are two varieties of Chinese Crested dogs: hairless and powderpuff. The Hairless variety are completely hairless, except for tufts of hair on the head, tail, and ankles. The Powderpuff variety have a soft, silky coat. Chinese Cresteds are also good for people who are allergic to dogs, as the hairless variety does not shed.","Chinese Crested dogs are low-energy dogs and do not require a lot of exercise. However, they do enjoy playing and going for walks.",,Hairless Cresteds require regular bathing and moisturizing to keep their skin healthy. Powderpuff Cresteds require regular brushing to prevent mats and tangles.,,Chinese Crested dogs are relatively easy to train with patience and positive reinforcement. They are intelligent dogs and can learn a variety of commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Shar-Pei,,,,,,,,,,,,,,,,,,,,,,,,China,Medium,,"Loyal, independent, and protective",,9-12 years,Non-Sporting,Short and harsh,Moderate,Early and consistent training is recommended,,,,"Some common health concerns include skin problems, eye problems, and hip dysplasia",,,,,45-65 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinook,https://api-ninjas.com/images/dogs/chinook.jpg,5.0,5.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,5.0,12.0,15.0,26.0,26.0,90.0,65.0,24.0,24.0,55.0,50.0,United States,"Male: 22-26 inches (56-66 cm) at the shoulder, Female: 20-24 inches (51-61 cm) at the shoulder",,"Intelligent, loyal, friendly, eager to please","Some health problems that are common in the Chinook include hip dysplasia, elbow dysplasia, and eye problems.",12-15 years,Working,"Thick, double coat: long, straight outer coat and soft, dense undercoat",2-3 hours of exercise per day,,Weekly brushing and occasional baths,,Easy to train with positive reinforcement,,,,,,"Male: 50-75 pounds (23-34 kg), Female: 40-60 pounds (18-27 kg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiweenie,,,,,,,,,,,,,,,,,,,,,,,,"The Chiweenie is a relatively new breed, first bred in the United States in the early 1990s.","They are small dogs, typically standing 10-12 inches tall at the shoulder and weighing 10-20 pounds. This makes them a good choice for people who live in apartments or small homes.",,"The Chihuahua Dachshund mix is known for being playful, affectionate, and loyal. They can be a bit stubborn, but they are generally easy to train. Chiweenies are also good watchdogs and will bark to alert you to strangers or anything unusual.","Chiweenies are generally healthy dogs, but they can be prone to some health problems, such as patellar luxation, eye problems, and allergies.",They have a lifespan of 12-16 years. This is a relatively long lifespan for a small dog breed.,,"Chiweenies can have a variety of coat types, including smooth, wiry, and longhaired. Smooth-coated Chiweenies are the most common, but wiry-coated and longhaired Chiweenies are also popular.","Chiweenies need moderate exercise, such as a daily walk or playtime. They are not as active as some other small dog breeds, such as Jack Russell Terriers or Miniature Pinschers.",,,,The Chihuahua Dachshund mix is an intelligent dog and can be trained with positive reinforcement methods. They are also good at learning tricks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chow Chow,https://api-ninjas.com/images/dogs/chow_chow.jpg,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,1.0,8.0,12.0,20.0,20.0,70.0,70.0,17.0,17.0,45.0,45.0,China,"Medium-sized, 18-22 inches tall at the shoulder",,"Independent, loyal, aloof, dignified",,10-15 years,Working dog,"Thick, double coat that comes in red, black, blue, cinnamon, and cream",Moderate,,Regular brushing required,,"Can be stubborn, but can be trained with patience and consistency",,,,,,,,,,,,,,,,,,,,,,,,,"Hip dysplasia, elbow dysplasia, eye problems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chug,,,,,,,,,,,,,,,,,,,,,,,,,"Chugs are small dogs, typically weighing between 10 and 20 pounds and standing between 6 and 12 inches tall.",,"Chugs are known for being affectionate, playful, and loyal companions. They are also intelligent and relatively easy to train. However, Chugs can also be stubborn and yappy, so early socialization and training are important.","Chugs are generally healthy dogs, but they can be prone to certain health problems, such as heat stroke, respiratory problems, and eye problems.",,,"Chugs have a short, smooth coat that can be any color, but the most common colors are brown, black, fawn, cream, and white.",,,Chugs require moderate grooming. Their coats should be brushed regularly to remove loose hair and distribute skin oils. Their wrinkles and folds should also be cleaned regularly to prevent infection.,,,,,,,,,,,,Chugs are relatively low-energy dogs and do not require a lot of exercise. A daily walk or playtime session is typically sufficient.,,,,,,,,,,,,,,,,,,,,Chugs are a cross between the Chihuahua and the Pug.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirneco dellâ€™Etna,,,,,,,,,,,,,,,,,,,,,,,,Italy,"Medium, typically standing 17-20 inches tall and weighing 17-26 pounds.",,"Gentle, playful, and independent","Generally healthy, but can be prone to some health problems, such as hip dysplasia and elbow dysplasia.",12-14 years,Sighthound group,"Short, smooth, and glossy",Moderate,,,,Easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clumber Spaniel,https://api-ninjas.com/images/dogs/clumber_spaniel.jpg,3.0,3.0,3.0,2.0,4.0,1.0,4.0,3.0,3.0,4.0,3.0,1.0,10.0,12.0,20.0,20.0,85.0,70.0,18.0,18.0,70.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cockapoo,,,,,,,,,,,,,,,,,,,,,,,,United States (Cockapoos are a crossbreed resulting from the breeding of Cocker Spaniels and Poodles).,"Small to medium-sized, with variations depending on the size of the parent Poodle and Cocker Spaniel.",,"Cockapoos are known for their friendly, affectionate, and social nature. They are generally good with children and other pets, making them excellent family dogs. They are also intelligent and trainable.","Like all breeds, Cockapoos can be prone to certain health issues, including hip dysplasia, ear infections (due to floppy ears), eye conditions, and skin problems. Responsible breeding and regular vet check-ups can help mitigate these risks.",12 to 15 years or more with proper care.,,"Their coat is usually soft and can be curly or wavy, often inheriting the hypoallergenic qualities of the Poodle parent. They come in various colors.",,,Cockapoos have coat grooming needs that can vary depending on the type of coat they inherit. Regular brushing is necessary to prevent matting and tangling. Some may require professional grooming every few months.,Hybrid (Designer),"They are intelligent and eager to please, making them relatively easy to train. Positive reinforcement methods work well with Cockapoos.",,,,"Cockapoos are moderately active dogs. They require daily exercise and enjoy playtime and walks, but they are not overly hyperactive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocker Spaniel,,,,,,,,,,,,,,,,,,,,,,,,United States,,,"Friendly, affectionate, playful, gentle",,12-15 years,,,,,,,"Relatively easy to train, but can be stubborn at times",,,Moderate,,,"25-30 pounds (male), 20-25 pounds (female)",,,,,,,,,,,,,,,,,"14-15 inches (male), 13-14 inches (female)",High,"Hip dysplasia, elbow dysplasia, eye problems",,,,,,Hunting,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collie,,,,,,,,,,,,,,,,,,,,,,,,The Collie was first recognized in Scotland and Northern England.,"Medium-sized dogs, typically standing 22 to 26 inches tall and weighing 45 to 75 pounds.","Collies have a long, thick coat that can be either smooth or rough. The coat can be any color, but the most common colors are black, white, and tri-color.","Collies are intelligent, loyal, and hardworking dogs. They are also very active and require a lot of exercise.","Generally healthy dogs, but they can be prone to some health problems, such as hip dysplasia, elbow dysplasia, and Collie eye anomaly.",10 to 14 years.,,,,,,Herding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
