dog_breed,review
Greater Swiss Mountain Dogs," As with most giant breeds, the Greater Swiss Mountain Dog doesn't need hours of hard running. Yet he is much more athletic than you might think, so he definitely needs regular moderate exercise. Pulling a cart or sled is a wonderful productive outlet for his energy, especially when children are involved. Greater Swiss Mountain Dogs thrive on your companionship, though their determination to jump up into your face, shove their body against your leg, or slap a massive paw into your lap can be disconcerting. This vigilant watchdog will sound off in a loud, deep voice to announce visitors – or simply to let you know that your neighbor has stepped outdoors. Most Swissys are friendly with guests, but some are more wary, and some are shy and spooky. Early and ongoing socialization is essential to develop a stable Greater Swiss Mountain Dog. Some Swissys are peaceful with other animals. Others have a high prey drive and aren't safe with small animals such as cats, while still others are downright aggressive with strange dogs. Obedience training should start at three months old and include praise and food. Walking nicely on a leash is an imperative lesson, for these powerful dogs can literally pull you off your feet. During adolescence when their hormones will kick in, many Swissys, especially males, will start to test your rules. You must respond with assertive, consistent leadership. Slower to mature (both physically and mentally) than many other breeds, the Greater Swiss Mountain Dog remains playfully puppy-like for many years. This sounds delightful, but can wear away your patience when that ""puppy"" weighs over 100 pounds! For example, you must control the tendency of this breed to mouth your hands. Similarly, he may try to ingest everything in his path, from sticks to gravel. Frankly, with all of his special needs, the Greater Swiss is ""too much dog"" for the average household. If you want a dog who... A Greater Swiss Mountain Dog may be right for you. If you don't want to deal with... A Greater Swiss Mountain Dog may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Greater Swiss Mountain Dog If I was considering a Greater Swiss Mountain Dog, I would be most concerned about... Since you have to minimize their exercise, young Greater Swiss Mountain Dogs can be very rambunctious. They will romp with uncoordinated gawkiness all over your house. You need to substitute extra quantities of companionship and supervision. Otherwise, left alone, young Swissies become bored and destructive."
Great Pyrenees," The AKC Standard describes the Great Pyrenees as ""strong willed, independent, and somewhat reserved, yet attentive, fearless, and loyal to his charges – both human and animal."" A majestic-looking dog with a kindly, regal expression, the Great Pyrenees is calm, composed, and serious. As an adult, he is quiet indoors and content with long daily walks and regular opportunities to stretch out. He does love to romp in the snow, and pulling a cart or carrying a backpack gives him a purpose in life. Aloof with strangers, he should be accustomed to many different people in his early months. The Great Pyrenees is patient with his own family's children, but some are overprotective when neighbors join in for rough-and-tumble play. Likewise, he may be protective of his own family's pets while aggressively driving off others. These characteristics stem from his background as a livestock guardian, where he was expected to keep watch over the flock, making his own decisions about friends and foes and appropriate actions. Unless you establish yourself as the alpha (number one), the Great Pyrenees will trust his own judgment and do whatever he pleases. This breed is not an eager-to-please Golden Retriever. Great Pyrenees have a deep, impressive bark, which they tend to use freely, especially at night when they are most vigilant. Fences must be secure, for Pyrs have a tendency to roam. Some produce ""slime"" (excessive saliva). If you want a dog who... A Great Pyrenees may be right for you. If you don't want to deal with... A Great Pyrenees may not be right for you. Keep in mind that the inheritance of temperament  is less predictable than the inheritance of physical  traits such as size or shedding. Temperament and behavior are also shaped by raising and training. ""Respect Training for Puppies""  (or ""Respect Training for Adult Dogs"" ) is a step by step guide to help you bring out the best in your pup so you can enjoy a calm and well-behaved dog, no matter what his age. Get your book today. ""11 Things You Must Do Right To Keep Your Dog Healthy and Happy""  is a comprehensive guide to keeping your dog mentally, physically, and emotionally happy and healthy so you can enjoy a longer lifetime of companionship. A healthy dog is a happy dog, so buy your copy today.  More traits and characteristics of the Great Pyrenees If I was considering a Great Pyrenees, I would be most concerned about... Great Pyrenees are most satisfied when guarding livestock. You can substitute pulling a cart or sled, or backpacking, but without something constructive to do, Great Pyrenees are likely to become bored and destructive. After reading this review, you probably have come to the conclusion that the Great Pyrenees is not suited to most households. You are absolutely right. Only certain living situations can provide the activities that keep this breed content."
Greyhounds," The Greyhound belongs to a family of hunting dogs called sighthounds. The slender, long-legged sighthound hunts by spotting the movement of a prey animal across a vast distance, then running the animal down with lightning speed. The Greyhound, though, is a unique sighthound developed more for track racing than for hunting. Greyhound racing is a high-stakes, brutal industry that is fortunately being banned in more and more communities. Greyhound racing dogs who are past their prime, or who simply lose too many races, would face quick deaths if it weren't for rescue groups who take them in and foster them. Greyhound Rescue groups teach these ex-racing dogs (who have lived their entire lives in kennels) how to be good family companions. The vast majority of Greyhounds found in family homes today are ex-racing dogs. With their quiet dignity and independence, Greyhounds are calm and quiet indoors, moving lightly and gracefully rather than toppling your lamps. They are comfort-loving dogs who want to snuggle on a soft couch or under a warm blanket. The fastest of all breeds (a Greyhound can outrun a horse in a sprint), once he has exploded into his powerful driving gallop for a short time, he is content to sleep for the rest of the day. Which brings up an important requirement for owning a Greyhound – you should have a good-sized, fenced area in which he can spring all-out at least once every few days. Greyhounds are not built for endurance, so they don't want or need hours of jogging exercise. This sensitive breed prefers peace and quiet and soft-spoken people. He does not do well in an environment with chronic tension or loud voices. Most Greyhounds are politely reserved with strangers, and prefer to lean against their owner's leg rather than approaching people they don't know. Greyhounds are peaceful with other dogs who are medium to large in size. But because of their heritage, they can be a serious chaser of cats and tiny dogs. However, many individuals can learn to coexist with these smaller pets. Greyhounds are nonaggressive (they tend to freeze when challenged or attacked) and they can be touch-sensitive (startling when touched unexpectedly). Because they are so docile, they must be trained with a very light hand and much more praise than correction. This quiet dog seldom barks. (But many individuals take great delight in stealing and hoarding food and toys!) If you want a dog who... A Greyhound may be right for you. If you don't want to deal with... A Greyhound may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Greyhound If I was considering a Greyhound, I would be most concerned about... See if there is a dog club in your area that offers an activity called lure coursing, which is chasing a mechanical lure in a controlled setting. This is an appropriate outlet for the full-speed galloping behaviors that are ""hardwired"" into your Greyhound's genes. Fortunately, most Greyhounds today are placed in their new homes by Greyhound rescue organizations. These groups have already done rigorous screening to evaluate each dog's behavioral tendencies. They are experienced at predicting whether any given Greyhound will be reliable with your cats, for example. Honestly, though, I don't know that I would feel comfortable keeping a Greyhound with one of my cats or toy-breed dogs. Should you consider a Greyhound if you have young children? It depends on the individual dog and the individual children. These sensitive dogs often feel overwhelmed by the loud voices and quick movements that children can't help making – and stress and shyness may be the result. Realistically, the final decision won't be up to you, since Greyhound rescue groups have their own policies about children. Personally I prefer to recommend Greyhounds for adult-only homes."
Havanese," One of the brightest and sturdiest of the toys, the Havanese is happy and playful and enjoys clever games of dexterity such as ""pull the hidden toy from under the cabinet with your paw."" Havanese are very people-oriented dogs, love snuggling in laps, and can be overly dependent -- they don't do well at all when left for long periods of time without companionship. ""Not doing well"" means unhappiness and boredom, which they may try to vent through barking and destructive chewing. Though peaceful and gentle with everyone (humans and other pets), the Havanese can be conservative with strangers. Socialization is important to build a confident, outgoing temperament, as there is a potential for excessive caution/timidity. Havanese do have an independent streak, but they are not a dominant breed. They respond well to training that includes food rewards and they especially love learning tricks. Many individuals excel in competitive obedience and agility. The most problematic training issue is housebreaking -- Havanese are slow to housetrain. Barking needs to be curtailed, as well. Many Havanese like to perch on the high back of a sofa or chair, looking out the window so they can announce visitors. If you want a dog who... A Havanese may be right for you. If you don't want to deal with... A Havanese may not be right for you. Keep in mind that the inheritance of temperament  is less predictable than the inheritance of physical  traits such as size or shedding. Temperament and behavior are also shaped by raising and training. ""Respect Training for Puppies""  (or ""Respect Training for Adult Dogs"" ) is a step by step guide to help you bring out the best in your pup so you can enjoy a calm and well-behaved dog, no matter what his age. Get your book today. ""11 Things You Must Do Right To Keep Your Dog Healthy and Happy""  is a comprehensive guide to keeping your dog mentally, physically, and emotionally happy and healthy so you can enjoy a longer lifetime of companionship. A healthy dog is a happy dog, so buy your copy today.  More traits and characteristics of the Havanese If I was considering a Havanese, I would be most concerned about... For ease of care, consider clipping the coat short so that brushing and combing is minimized. Then your Havanese will look like an adorable puppy throughout his life. If the potential housebreaking problem sounds like a deal-breaker to you, don't give up! Consider adopting an already-housebroken adult Havanese from a rescue group. Other concerns in the breed are urinary problems and bladder stones, along with loose knee joints that may require surgery. Read more about Havanese Health."
Ibizan Hounds," The AKC Standard says, ""Lithe and racy, the Ibizan possesses a deerlike elegance combined with the power of a hunter."" The Ibizan Hound, affectionately called ""Beezer"", belongs to a family of dogs called sighthounds. The slender, long-legged sighthound is a hunting breed that spots the movement of prey across a vast distance, and runs it down with lightning speed. Once past the boisterous puppy stage, the sleek Ibizan Hound is quiet, gentle, and relaxed indoors and can be a couch potato. However, true to his heritage, he is also a swift and athletic dog who needs running exercise in a safe, enclosed area. He loves to leap, and he is incredibly graceful and light on his feet, without equal as a high-jumper and broad-jumper. Fences must be at least six feet high – and food stored on top of the refrigerator is not out of his reach! Polite but watchful with strangers, the Ibizan Hound does need early and extensive socialization to develop a confident, outgoing personality. Most are effective watchdogs and some have protective instincts, which is unusual for a sighthound. ""Beezers"" are good with other dogs, but likely to pursue (and unfortunately catch....) smaller pets who run. The Ibizan Hound learns quickly and enjoys activities such as obedience and agility (when they are made interesting and challenging), but he is a freethinker who doesn't obey mindlessly. He must be handled calmly and persuasively and motivated with food and praise, for he is sensitive to sharp corrections. Sighthounds can be touch-sensitive, startling when touched unexpectedly or wrapped up in someone's arms. A verbal correction is more effective than a physical one, because it is less upsetting and distracting to the dog. If you want a dog who... An Ibizan Hound may be right for you. If you don't want to deal with... An Ibizan Hound may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Ibizan Hound If I was considering an Ibizan Hound, I would be most concerned about... See if there is a dog club in your area that offers an activity called lure coursing, which is chasing a mechanical lure in a controlled setting. This is an appropriate outlet for the full-speed galloping behaviors that are ""hardwired"" into your Ibizan Hound's genes. All that said, if you're interested in canine sports like competitive obedience or agility (obstacle course), Ibizan Hounds are one of the best choices of the sighthounds. They're not top-notch competition dogs like Border Collies and Golden Retrievers! But if you treat these sports like fun games, Ibizan Hounds learn readily. Read more about Ibizan Hound Training. If you have toddlers, I don't recommend an Ibizan Hound. These sensitive dogs can feel overwhelmed by the loud voices and quick movements that children can't help making – and stress and shyness may be the result."
Irish Setters," Did you think Irish Setters only came in red? Surprise! They also come in a handsome red-and-white pattern. The elegant Irish Setter has been described as rollicking, happy-go-lucky, clownish, impulsive, flighty, and demonstrative. This lively dog can be a destructive handful during the gawky adolescent stage – which lasts two or three years. But given sufficient exercise and obedience training to instill good manners, adults gradually become more dignified and aristocratic. The sociable Irish Setter gets along well with everyone, including other pets. Indeed, he requires a good deal of companionship and doesn't thrive if left alone too much. Though he has a willful streak and is easily distracted by exciting sights and smells (remember, this is a hunting dog!), the Irish Setter is probably the most willing to please of the three setter breeds. You must be both patient and persistent when training setters, but never harsh, because these dogs are physically and emotionally sensitive. And they have long memories: once they learn something (whether right or wrong), they'll remember it for a long time. This means bad habits can be difficult to break and harsh handling is not easily forgotten. If you want a dog who... An Irish Setter may be right for you. If you don't want to deal with... An Irish Setter may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Irish Setter If I was considering an Irish Setter, I would be most concerned about..."
Irish Terriers," The AKC Standard says, ""There is a heedless, reckless pluck about the Irish Terrier which...coupled with the headlong dash, blind to all consequences, with which he rushes at his adversary, has earned for the breed the proud epithet of Daredevil."" One of the boldest and most animated of the terriers, this fearless breed, built on lines of speed with a graceful, racy outline, must often be protected from himself. Energetic and intense, he romps and plays with vigor and will take as much exercise as you can offer. Leashes and secure fences are compulsory, for he is exceedingly fast and agile, with strong chasing, digging, and jumping instincts. The Irish Terrier does best with active families, for without exercise and lots of companionship and personal interaction, he will become bored and seek to entertain himself -- and his choices usually involve mischief and destructiveness. His reaction to strangers varies from polite to aloof, and even the polite ones are vigilant watchdogs. Early socialization is important for a stable, controlled temperament. The Irish Terrier can be exceedingly scrappy with other animals, whether canine or feline, and will make short shrift of rabbits and rodents. Stubborn and self-assured, he is inclined to test for position in the family pecking order. If you want a dog who... An Irish Terrier may be right for you. If you don't want to deal with... An Irish Terrier may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Irish Terrier If I was considering an Irish Terrier, I would be most concerned about... Irish Terriers are active go-getters. They require a fenced yard, plenty of companionship throughout the day, and regular opportunities to do interesting things (games and activities). But terriers should not be trusted off-leash. They will take off after anything that runs. Irish Terriers must be taught at an early age that they are not the rulers of the world. The toughness that makes them suited to killing vermin can frustrate you when you try to teach them anything. Terriers can be stubborn and dominant and will make you prove that you can make them do things. You must show them, through absolute consistency, that you mean what you say. Read more about Irish Terrier Training. I do not recommend Irish Terriers around small children. Many terriers will not tolerate any nonsense from little life forms whom they consider to be below themselves in importance. Many terriers are quick to react to teasing, and even to the normal clumsiness that comes with small children (accidental squeezing of their ears or pulling of whiskers or stepping on their paw). Many terriers are possessive of their food and toys and will defend these from all comers."
Irish Water Spaniels," The AKC Standard says, ""Great intelligence is combined with rugged endurance and a bold, dashing eagerness."" The tallest of the spaniels, with a unique quizzical expression, the Irish Water Spaniel has a distinct, purposeful presence. He varies in personality more than some other breeds, but most are bold, inquisitive, and eager to play. Irish Water Spaniels need plenty of vigorous exercise, including retrieving and swimming. He should be accustomed to a variety of people and new situations at an early age, as he tends to be reserved and often protective, and these traits could easily slide into shyness or sharpness. Irish Water Spaniels can be aggressive with strange dogs, sometimes even with other pets. Most have strong opinions and are not hesitant about expressing them, yet he is capable of learning a great deal from an owner who knows how to lead. Handled properly and given outlets for his exuberance, the Irish Water Spaniel is a fun-loving, extremely perceptive dog. However, this is not a breed to be teased or ignored, nor one to be chosen by a nonassertive owner. If you want a dog who... An Irish Water Spaniel may be right for you. If you don't want to deal with... An Irish Water Spaniel may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Irish Water Spaniel If I was considering an Irish Water Spaniel, I would be most concerned about... Without enough opportunities to vent his energy and do interesting things, an Irish Water Spaniel is likely to become rambunctious and bored, which dogs usually express by barking and destructive chewing."
Irish Wolfhounds," The AKC Standard says, ""Of great size and commanding appearance, the Irish Wolfhound is remarkable in combining power and swiftness with sight."" This gentle giant is sometimes calm and dignified, sometimes playful and silly, always easygoing and reliable. The Irish Wolfhound does best in a suburban or country home with lots of companionship and room to stretch out. He needs regular exercise to stay fit, whether he seems to want it or not. A daily one-hour walk/trot (on-leash) with twice weekly gallops inside a safe enclosed area are necessary for proper development. Sensible with strangers, most Irish Wolfhounds are friendly and expect to be petted, while some are more wary. This breed does need early, frequent socialization to encourage an outgoing attitude. Not many individuals are guardians; indeed, suspiciousness or aggressiveness should never be encouraged because of his massive size. With other animals the Irish Wolfhound is usually amiable, but he does love to chase, tackle, and pounce on anything that moves rapidly. A sweet and sensitive dog, he has his independent side but responds well (slowly and thoughtfully) to patient obedience training. Use positive rewards rather than heavy-handed jerking. Irish Wolfhounds remain gawky, clumsy, and potentially destructive (in a big way!) for up to three years. If you want a dog who... An Irish Wolfhound may be right for you. If you don't want to deal with... An Irish Wolfhound may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Irish Wolfhound If I was considering an Irish Wolfhound, I would be most concerned about... Since you need to minimize their exercise, young Irish Wolfhounds can be very rambunctious. They will romp with uncoordinated gawkiness all over your house. You need to substitute extra quantities of companionship and supervision. Otherwise, left alone, young Irish Wolfhounds become bored and destructive and their powerful jaws can literally destroy your living room. To teach your Irish Wolfhound to listen to you, ""Respect Training"" is mandatory. Read more about Irish Wolfhound Training."
Italian Greyhounds," The Italian Greyhound is sweet-natured and gentle, yet also exceptionally playful and athletic. This warmth-seeking, comfort-loving dog can usually be found basking in sunspots or snuggled into soft furniture, often hidden under a blanket, pillow, or towel. When you own an Italian Greyhound, you need to watch where you sit! But if this breed sounds like the perfect couch potato . . . he isn't! In between his placid snuggles, Italian Greyhounds will suddenly explode into a burst of vigorous running and leaping, tearing pell-mell around the house or yard, darting and zigzagging at breakneck speeds and literally bouncing off the walls, fence, sofa, or beds. Perching themselves up high on the back of your sofa to better see out the window, young Italian Greyhounds are notorious for breaking their long fragile legs as they launch themselves fearlessly into space and crash to the floor. Their spurts of reckless abandon can be nerve-wracking to live with! The same is true outdoors. A yard that hopes to contain an Italian Greyhound should have a high (at least six-foot fence), because this racy, agile breed is a fantastic jumper. Off-leash walks would be foolish for a similar reason: he can be out of sight in seconds. Polite (often a bit aloof) with strangers, there is potential for timidity, so he should be socialized early and thoroughly. The Italian Greyhound is amiable with other dogs and cats, but some have a high prey drive and will run squeaky creatures into the ground. IGs (pronounced eye-jees) or Iggies are mildly stubborn and very sensitive. They respond favorably only to gentle, upbeat training methods that emphasize cheerful praise and food rewards. Physical corrections upset them because they can be ""touch-sensitive"", startling when touched unexpectedly or grabbed suddenly (one reason I don't recommend these dogs for young children). Italian Greyhounds have marvellously quirky, inquisitive, demanding personalities that are unique from other breeds. With all of their special needs, they are not good choices for inexperienced dog owners. Housebreaking is especially difficult, as Italian Greyhounds often refuse to go outside in the cold or rain. Some owners build special (large) litterboxes for their Italian Greyhound, or teach him to use a doggy door that leads out to a COVERED and PROTECTED potty yard. If you want a dog who... An Italian Greyhound may be right for you. If you don't want to deal with... An Italian Greyhound may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Italian Greyhound If I was considering an Italian Greyhound, I would be most concerned about... Italian Greyhound puppies are not suited to small children, no matter how well-meaning the child. Children cannot help being clumsy, and that a child meant well is little solace to an Italian Greyhound puppy who has been accidentally stepped on or squeezed too hard. Even Italian Greyhound adults often feel overwhelmed by the loud voices and quick movements that children can't help making – and stress and shyness may be the result."
Spinone Italiano," The Spinone Italiano Club says: ""Everything about this breed suggests great strength."" Kind and patient in the home, the Italian Spinone is a serious, tireless hunting machine in the field. Though he looks gruff, rather like a wise old grandfather, the Spinone is happy and playful, even clownish. Youngsters can be restless and require lots of attention, but adults are calm and laid-back, as long as they are given sufficient daily exercise, including swimming if possible. Remember that this is a hunting breed, not an apartment decoration. This sweet-natured dog needs lots of early exposure to people and strange sights and sounds. When well socialized, he may turn out quite friendly or remain a bit cautious, yet poised. Most Spinoni get along well with other animals, especially other dogs. Some individuals have a higher prey drive and will pester cats. The Spinone Italiano has an independent mind and can be stubborn, but this is not a dominant dog who needs (or who can withstand) strong-arm training methods. He can be a jumper and digger, so make sure fences are secure. Some individuals drool, especially around food and water. If you want a dog who... A Spinone Italiano may be right for you. If you don't want to deal with... A Spinone Italiano may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Spinone Italiano If I was considering an Italian Spinone, I would be most concerned about... If you don't provide enough physical and mental exercise AND a good deal of companionship, the Spinone will express his unhappiness through destructive chewing and barking. In other words, you must teach your Spinone Italiano to respect you. A dog who respects you will do what you say and will stop what he's doing when you tell him ""No."" Read more about Spinone Italiano Training."
Jack Russell Terriers," If any dog can top the high energy level of a Fox Terrier, it might be a Jack Russell. If any dog can top the hard-as-nails hunting skills of a Border Terrier, it might be a Jack Russell. And if any dog can top the strong prey drive, determination, and intensity of a Jack Russell Terrier – well, that could only be another Jack Russell. This bright, clever, athletic breed is on top of everything that's going on in his environment. Nothing gets by him. A solitary or sedate lifestyle is not suited to a Jack Russell Terrier. He requires full participation in the family and vigorous daily play sessions, especially ball chasing, which he tends to be passionate about – even obsessive. Too little exercise, too little companionship, and too little mental stimulation will quickly lead to boredom, which will in turn lead to destructive behaviors. JRTs are not apartment dogs, nor are they suited to people who work a lot. Most Jack Russell Terriers are happy-go-lucky and friendly with strangers. But in the presence of strange dogs, keep them close and under control. If the other dog minds its own manners, the Jack Russell will usually adhere to a ""live and let live"" philosphy. But some Jack Russells are so brash and fearless they will take on a Rottweiler if it even looks cross-eyed at them. Two Jack Russell Terriers (regardless of sex or age) should never be left alone together. All may appear to go well for a while – even a long while. But with this breed, a seemingly amiable relationship can suddenly flare into deadly combat over something as innocuous as possession of a chew toy. If you keep two Jack Russells, it is safest to separate them when you leave the house. As you've probably guessed by now, small pets that run, squeak, or flutter probably won't last an hour. The exploratory and hunting instincts of Jack Russell Terriers are legendary. These dogs will ""go to ground"" after anything that moves and they will stay in or by the hole for hours, even days. Obviously, JRTs are enthusiastic diggers and barkers! The Jack Russell Terrier is highly intelligent and can learn almost anything – very, very quickly. The hardest part of training a Jack Russell is convincing this cheerful but assertive little guy that he actually has to DO what he has learned, when you say so, even when he's not in the mood. Fortunately, if you are offering the correct mix of physical exercise, mental stimulation, companionship hours, and confident leadership, the Jack Russell is usually willing to oblige. Now it is possible to find a mild-mannered, laid-back Jack Russell. When you're looking for an adult dog from a rescue group, they might have a purebred or mixed Jack Russell who is more mellow. But this temperament is not the norm for the breed, so if you get a puppy, he or she is likely to grow up to have the active go-getter temperament I've been describing. If you want a dog who... A Parson Jack Russell Terrier may be right for you. If you don't want to deal with... A Parson Jack Russell Terrier may not be right for you. Keep in mind that the inheritance of temperament  is less predictable than the inheritance of physical  traits such as size or shedding. Temperament and behavior are also shaped by raising and training. ""Respect Training for Puppies""  (or ""Respect Training for Adult Dogs"" ) is a step by step guide to help you bring out the best in your pup so you can enjoy a calm and well-behaved dog, no matter what his age. Get your book today. ""11 Things You Must Do Right To Keep Your Dog Healthy and Happy""  is a comprehensive guide to keeping your dog mentally, physically, and emotionally happy and healthy so you can enjoy a longer lifetime of companionship. A healthy dog is a happy dog, so buy your copy today.  More traits and characteristics of Jack Russell Terriers If I was considering a Jack Russell Terrier, I would be most concerned about... Jack Russell Terriers thrive when you find interesting things for them to do that challenge their minds, such as agility training (obstacle course), advanced obedience training, flyball, or ""earthdog"" training (where terriers dig and tunnel after small critters who are secured in a sturdy cage so they can't be harmed). See my book, Teach Your Dog 100 English Words (below), for a dynamic training program that will keep your Jack Russell on his toes!"
Japanese Chin," Perky, proud, and playful, the elegant Japanese Chin is less hyperactive and less yappy than many other toy breeds. Though he does love to play in the yard, he doesn't need much more exercise than that. The yard must be fenced, for he has a spaniel heritage with just enough hunting instincts to chase birds or butterflies into the street. A lover of comfort, the Japanese Chin enjoys cuddling on laps and snuggling into soft pillows, his soulful eyes inviting pampering, which he accepts graciously. However, you're just as apt to find him perched high on the back of the sofa, for he is an agile climber, light and graceful on his feet, much like a cat. This gentle yet merry breed insists on attention and interaction and is a terrific pet for senior citizens. At the other end of the spectrum, he is easily overwhelmed by small children and cannot take rough handling or mischief. Most Japanese Chin are polite with strangers, though a good many individuals are standoffish or timid, so socialization is important. This breed is peaceful with other pets. Though he has an aristocratic demeanor and definite likes and dislikes, the Japanese Chin is also bright, sensitive, and responsive. The little obedience training he needs will go well if you rely on consistency, praise, and food rewards. If you want a dog who... A Japanese Chin may be right for you. If you don't want to deal with... A Japanese Chin may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Japanese Chin If I was considering a Japanese Chin, I would be most concerned about... If you have small children, I do not recommend Japanese Chin puppies, no matter how well-meaning the child. Small children cannot help being clumsy, and that a child meant well is little solace to a Japanese Chin puppy who has been accidentally stepped on, sat on, rolled on, squeezed, or dropped onto the patio. Even Japanese Chin adults may feel overwhelmed by the loud voices and quick movements that children can't help making – and stress and shyness may be the result."
Keeshonds," Compared to other breeds in the ""spitz"" family, the Keeshond is quieter, more sensible, and less dominant. Bright, cheerful, and lively, the Keeshond needs moderate exercise, but more importantly, he needs companionship. He is very people-oriented, craves attention and petting, and needs to be fully involved in the family. Attitude toward strangers varies from friendly to polite. There is timidity in some lines, so early socialization is important to build an outgoing, confident temperament. With his acute hearing and emotional sensitivity, Keeshonds are more reactive to loud noises than some other breeds and don't do well in an environment with tension or shouting. This is not a guard dog. Keeshonds will bark, but it's usually welcoming rather than protective. Most are peaceful with other pets. The Keeshond has an independent streak and can be mischievous and ""clever"" (using his intelligence to get his own way). Focus on gentle, positive guidance and praise/food rewards. The Kees is known as the ""Smiling Dutchman"" because of his tendency to curl his lip and bare his teeth in a hideous grimace. It's not a snarl, but only a happy and submissive grin. If you want a dog who... A Keeshond may be right for you. If you don't want to deal with... A Keeshond may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Keeshond If I was considering a Keeshond, I would be most concerned about..."
Kerry Blue Terriers," The Kerry Blue Terrier is extraordinarily bright and full of life. He has a high energy level, is always ready to play, and wants to be wherever you are. This sounds great, and it can be -- but it does have its downsides. You cannot leave a Kerry Blue Terrier alone all day, or stick him in the back yard and expect him to be passive and content. These intelligent dogs insist on being a full-fledged member of your family and cannot just be shunted aside. When bored or ignored, Kerries (like many other breeds, by the way) are likely to get into a world of mischief. Other important-to-know characteristics of the Kerry Blue Terrier are his pride, his sensitivity, a tendency toward moodiness, and his strong sense of justice. Taken together, this means the Kerry Blue doesn't meekly accept teasing, unfairness, or rough handling. That kind of sensitivity means that when you're training him, you can't push him too far. And yet, if you don't demonstrate firm, consistent leadership, a Kerry Blue Terrier will walk over you. The Kerry may be one of the smartest breeds in dogdom, but that definitely doesn't mean instant obedience. Unless you establish yourself as in charge, a Kerry can be headstrong, taking clever advantage of those who indulge him. With this complex temperament, this is not a good breed for a first-time or casual owner. Toward strangers, the Kerry Blue Terrier may be friendly or reserved, and even the friendly ones are sensibly protective. Some lines and individuals are more wary, and some are overprotective. Socialization is imperative to develop a stable attitude. A Kerry Blue Terrier is not always the best choice for multi-pet households. He may not go looking for a fight, but he certainly won't walk away from one, and he can have a high prey drive with cats, birds, and other small animals. If you want a dog who... A Kerry Blue Terrier may be right for you. If you don't want to deal with... A Kerry Blue Terrier may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Kerry Blue Terrier If I was considering a Kerry Blue Terrier, I would be most concerned about... Kerry Blue Terriers must be taught at an early age that they are not the rulers of the world. The toughness that makes them suited to killing vermin can frustrate you when you try to teach them anything. Terriers can be stubborn and dominant and will make you prove that you can make them do things. You must show them, through absolute consistency, that you mean what you say. Read more about Kerry Blue Terrier Training. I do not recommend Kerry Blue Terriers around small children. Many terriers will not tolerate any nonsense from little life forms whom they consider to be below themselves in importance. Many terriers are quick to react to teasing, and even to the normal clumsiness that comes with small children (accidental squeezing of their ears or pulling of whiskers or stepping on their paw). Many terriers are possessive of their food and toys and will defend these from all comers."
