,name,life_expectancy,height,weight,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking
194,Saint Bernard,9.0,29.0,145.0,5.0,3.0,3.0,2.0,5.0,1.0,3.0,3.0,5.0,3.0,3.0,1.0
195,Saluki,13.5,25.5,52.5,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,4.0,3.0
196,Samoyed,13.0,22.25,48.75,5.0,3.0,3.0,3.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,5.0
197,Schapendoes,13.5,18.0,40.5,3.0,5.0,2.0,3.0,2.0,1.0,3.0,4.0,5.0,5.0,4.0,3.0
198,Schipperke,13.0,12.0,13.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,5.0,4.0,3.0,4.0
199,Scottish Deerhound,9.5,31.0,91.25,3.0,5.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0
200,Scottish Terrier,12.0,10.0,20.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,4.0,5.0,3.0,3.0,4.0
201,Sealyham Terrier,13.0,10.5,22.25,3.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,5.0,4.0,3.0,4.0
202,Segugio Italiano,12.0,21.0,50.0,3.0,5.0,3.0,1.0,2.0,1.0,5.0,3.0,3.0,3.0,4.0,4.0
203,Shetland Sheepdog,13.0,14.5,20.0,5.0,5.0,3.0,3.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,5.0
204,Shiba Inu,14.5,15.5,20.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,5.0,2.0,3.0,3.0
205,Shih Tzu,14.0,9.75,12.5,5.0,5.0,1.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0
206,Shikoku,11.0,19.5,45.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
207,Siberian Husky,13.0,22.25,47.5,5.0,5.0,4.0,2.0,1.0,1.0,5.0,5.0,1.0,3.0,5.0,5.0
208,Silky Terrier,14.0,9.5,9.0,3.0,3.0,2.0,3.0,1.0,1.0,4.0,4.0,5.0,4.0,3.0,4.0
209,Skye Terrier,13.0,10.0,35.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
210,Sloughi,12.5,27.5,42.5,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0
211,Slovakian Wirehaired Pointer,13.5,25.5,57.5,3.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,4.0,3.0
212,Slovensky Cuvac,12.0,25.25,82.5,3.0,3.0,4.0,2.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,1.0
213,Slovensky Kopov,12.5,18.0,38.5,3.0,4.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0
214,Spanish Mastiff,11.0,31.5,170.0,3.0,3.0,3.0,1.0,5.0,1.0,3.0,2.0,5.0,3.0,3.0,1.0
215,Spanish Water Dog,13.0,18.625,40.0,4.0,3.0,1.0,4.0,2.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0
216,Spinone Italiano,11.0,25.0,75.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0
217,Stabyhoun,14.0,20.0,50.0,5.0,4.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,4.0,3.0
218,Staffordshire Bull Terrier,13.0,15.0,31.0,5.0,3.0,2.0,2.0,3.0,1.0,4.0,4.0,5.0,5.0,4.0,3.0
219,Standard Schnauzer,14.5,19.0,40.0,5.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0,5.0,5.0,3.0,3.0
220,Sussex Spaniel,14.0,14.0,40.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0
221,Swedish Lapphund,13.0,18.0,37.5,3.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0
222,Swedish Vallhund,13.5,13.125,27.5,5.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0
223,Taiwan Dog,11.0,18.5,33.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,5.0,4.0,5.0,3.0
224,Teddy Roosevelt Terrier,15.0,11.5,16.5,5.0,5.0,3.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0
225,Thai Ridgeback,12.5,22.0,55.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,4.0,4.0,3.0
226,Tibetan Mastiff,11.0,27.0,107.5,3.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,5.0,3.0,3.0,3.0
227,Tibetan Spaniel,13.5,10.0,12.0,5.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0
228,Tibetan Terrier,15.5,15.5,24.5,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0
229,Tornjak,13.0,25.5,86.0,3.0,1.0,4.0,2.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0
230,Tosa,11.0,22.5,150.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,5.0,3.0,3.0,3.0
231,Transylvanian Hound,12.0,24.0,71.5,5.0,5.0,3.0,2.0,3.0,1.0,4.0,5.0,5.0,4.0,5.0,4.0
232,Treeing Tennessee Brindle,11.0,20.0,40.0,3.0,5.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0
233,Treeing Walker Coonhound,12.5,24.5,60.0,5.0,5.0,3.0,1.0,3.0,1.0,3.0,4.0,3.0,5.0,5.0,4.0
234,Vizsla,13.0,23.0,53.5,5.0,4.0,3.0,2.0,2.0,1.0,4.0,5.0,3.0,5.0,5.0,3.0
235,Volpino Italiano,13.0,11.25,11.5,5.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,2.0
236,Weimaraner,11.5,26.0,72.5,5.0,3.0,3.0,2.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,3.0
237,Welsh Springer Spaniel,13.5,18.5,45.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,5.0,4.0,3.0
238,Welsh Terrier,13.5,15.0,21.0,5.0,3.0,2.0,3.0,2.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0
239,West Highland White Terrier,14.0,11.0,17.5,5.0,3.0,3.0,3.0,1.0,1.0,4.0,5.0,5.0,3.0,4.0,5.0
240,Wetterhoun,13.0,23.0,62.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
241,Whippet,13.5,20.5,32.5,5.0,5.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,1.0
242,Wirehaired Pointing Griffon,13.5,23.0,51.25,5.0,3.0,3.0,2.0,3.0,1.0,5.0,4.0,3.0,5.0,5.0,3.0
243,Wirehaired Vizsla,13.0,24.0,55.0,5.0,3.0,3.0,1.0,2.0,1.0,5.0,5.0,3.0,5.0,5.0,3.0
244,Xoloitzcuintli,15.5,22.0,44.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0
245,Yakutian Laika,11.0,22.0,47.5,5.0,4.0,4.0,2.0,3.0,1.0,1.0,4.0,5.0,3.0,5.0,4.0
246,Yorkshire Terrier,13.0,7.5,7.0,5.0,3.0,1.0,5.0,1.0,1.0,5.0,4.0,5.0,4.0,4.0,4.0
247,Affenchon,,,,,,,,,,,,,,,
248,Afghan Retriever,,,,,,,,,,,,,,,
249,Akbash,,,,,,,,,,,,,,,
250,Akita Basset,,,,,,,,,,,,,,,
251,Alopekis,,,,,,,,,,,,,,,
252,American Bandogge,,,,,,,,,,,,,,,
253,American Boston Bull Terrier,,,,,,,,,,,,,,,
254,American Bully,,,,,,,,,,,,,,,
255,American Pit Bull Terrier,,,,,,,,,,,,,,,
256,Appenzeller Sennenhunde,,,,,,,,,,,,,,,
257,Armenian Gampr,,,,,,,,,,,,,,,
258,Aussiedoodle,,,,,,,,,,,,,,,
259,Australian Labradoodle,,,,,,,,,,,,,,,
260,Australian Retriever,,,,,,,,,,,,,,,
261,Bascottie,,,,,,,,,,,,,,,
262,Bassetoodle,,,,,,,,,,,,,,,
263,Bavarian Mountain Scent Hound,,,,,,,,,,,,,,,
264,Beaglier,,,,,,,,,,,,,,,
265,Belgian Laekenois,,,,,,,,,,,,,,,
266,Belgian Malinois,,,,,,,,,,,,,,,
267,Belgian Sheepdog,,,,,,,,,,,,,,,
268,Belgian Tervuren,,,,,,,,,,,,,,,
269,Bernedoodle,,,,,,,,,,,,,,,
270,Bichon Frise,,,,,,,,,,,,,,,
271,Biewer Terrier,,,,,,,,,,,,,,,
272,Black Mouth Cur,,,,,,,,,,,,,,,
273,Blue Lacy,,,,,,,,,,,,,,,
274,Bocker,,,,,,,,,,,,,,,
275,Cardigan Welsh Corgi,,,,,,,,,,,,,,,
276,Catahoula Leopard Dog,,,,,,,,,,,,,,,
277,Cava-Chin,,,,,,,,,,,,,,,
278,Cavapoo,,,,,,,,,,,,,,,
279,Chilier,,,,,,,,,,,,,,,
280,Chinese Crested,,,,,,,,,,,,,,,
281,Chinese Shar-Pei,,,,,,,,,,,,,,,
282,Chiweenie,,,,,,,,,,,,,,,
283,Chug,,,,,,,,,,,,,,,
284,Cirneco dellâ€™Etna,,,,,,,,,,,,,,,
285,Cockapoo,,,,,,,,,,,,,,,
286,Cocker Spaniel,,,,,,,,,,,,,,,
287,Collie,,,,,,,,,,,,,,,
288,Czechoslovakian Vlcak,,,,,,,,,,,,,,,
289,Docker,,,,,,,,,,,,,,,
290,English Toy Spaniel,,,,,,,,,,,,,,,
291,Fila Brasileiro,,,,,,,,,,,,,,,
292,Fox Terrier,,,,,,,,,,,,,,,
293,Goberian,,,,,,,,,,,,,,,
294,Golden Mountain Doodle,,,,,,,,,,,,,,,
295,Goldendoodle,,,,,,,,,,,,,,,
296,Jack Russell Terrier,,,,,,,,,,,,,,,
297,Kooikerhondje,,,,,,,,,,,,,,,
298,Korean Jindo Dog,,,,,,,,,,,,,,,
299,Labradoodle,,,,,,,,,,,,,,,
300,Maltipoo,,,,,,,,,,,,,,,
301,Manchester Terrier,,,,,,,,,,,,,,,
302,Maremma Sheepdog,,,,,,,,,,,,,,,
303,Mastiff,,,,,,,,,,,,,,,
304,Mini Bernedoodle,,,,,,,,,,,,,,,
305,Newfypoo,,,,,,,,,,,,,,,
306,Patterdale Terrier,,,,,,,,,,,,,,,
307,Pembroke Welsh Corgi,,,,,,,,,,,,,,,
308,Pointer,,,,,,,,,,,,,,,
309,Pomeagle,,,,,,,,,,,,,,,
310,Pomsky,,,,,,,,,,,,,,,
311,Poogle,,,,,,,,,,,,,,,
312,Pugalier,,,,,,,,,,,,,,,
313,Puggle,,,,,,,,,,,,,,,
314,Pyredoodle,,,,,,,,,,,,,,,
315,Russian Tsvetnaya Bolonka,,,,,,,,,,,,,,,
316,Schnoodle,,,,,,,,,,,,,,,
317,Scoodle,,,,,,,,,,,,,,,
318,Shiloh Shepherd,,,,,,,,,,,,,,,
319,Soft Coated Wheaten Terrier,,,,,,,,,,,,,,,
320,Texas Heeler,,,,,,,,,,,,,,,
321,Weimardoodle,,,,,,,,,,,,,,,
322,Working Kelpie,,,,,,,,,,,,,,,
323,Xiasi,,,,,,,,,,,,,,,
324,Yorkipoo,,,,,,,,,,,,,,,
